分类: 📡卫视频道, 名称: 陕西卫视, 总数: 135, 有效: 12, 有效率: 8.89%, IPv4: 135, IPv6: 0, 最小延迟: 103 ms, 最高速率: 127.31 M/s, 平均速率: 23.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 总数: 182, 有效: 15, 有效率: 8.24%, IPv4: 182, IPv6: 0, 最小延迟: 60 ms, 最高速率: 63.27 M/s, 平均速率: 6.43 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.48, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 总数: 203, 有效: 17, 有效率: 8.37%, IPv4: 203, IPv6: 0, 最小延迟: 160 ms, 最高速率: 22.94 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.35, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 总数: 88, 有效: 5, 有效率: 5.68%, IPv4: 88, IPv6: 0, 最小延迟: 147 ms, 最高速率: 6.62 M/s, 平均速率: 5.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.28, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 总数: 181, 有效: 10, 有效率: 5.52%, IPv4: 181, IPv6: 0, 最小延迟: 160 ms, 最高速率: 11.37 M/s, 平均速率: 2.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.64, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 总数: 107, 有效: 12, 有效率: 11.21%, IPv4: 107, IPv6: 0, 最小延迟: 89 ms, 最高速率: 143.72 M/s, 平均速率: 32.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 新疆卫视, 总数: 108, 有效: 9, 有效率: 8.33%, IPv4: 108, IPv6: 0, 最小延迟: 109 ms, 最高速率: 122.25 M/s, 平均速率: 34.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰付费频道, 名称: 文化精品, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 云南卫视, 总数: 150, 有效: 12, 有效率: 8.00%, IPv4: 150, IPv6: 0, 最小延迟: 51 ms, 最高速率: 63.92 M/s, 平均速率: 4.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰付费频道, 名称: 央视台球, 总数: 12, 有效: 4, 有效率: 33.33%, IPv4: 12, IPv6: 0, 最小延迟: 95 ms, 最高速率: 140.68 M/s, 平均速率: 42.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰付费频道, 名称: 风云音乐, 总数: 32, 有效: 9, 有效率: 28.12%, IPv4: 32, IPv6: 0, 最小延迟: 745 ms, 最高速率: 6.64 M/s, 平均速率: 4.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
